Name,District,Municipality,Township,Line
Pocinho,GUARDA,VILA NOVA DE FOZ COA,Vila Nova de Foz Coa,Linha do Douro
Fuseta,FARO,OLHAO,Moncarapacho e Fuseta,Linha do Algarve
Ourique,BEJA,CASTRO VERDE,Castro Verde e Casevel,Linha do Alentejo
Monte das Flores,EVORA,EVORA,Malagueira e Horta das Figueiras,Linha de Evora
Alcantarilha,FARO,SILVES,Alcantarilha e Pera,Linha do Algarve
Poco Barreto,FARO,SILVES,Silves,Linha do Algarve
Paredes,PORTO,PAREDES,Paredes,Linha do Douro
Benfica,LISBOA,LISBOA,Benfica,Linha de Sintra
Sao Bartolomeu da Serra,SETUBAL,SANTIAGO DO CACEM,"Santiago do Cacem, S. Cruz e S. Bartolomeu da Serra",Linha de Sines
Riachos - Torres Novas - Golega,SANTAREM,TORRES NOVAS,Riachos,Linha do Norte
Silves,FARO,SILVES,Silves,Linha do Algarve
Bom Joao,FARO,FARO,Faro (Se e Sao Pedro),Linha do Algarve
Santana Cartaxo,SANTAREM,CARTAXO,Vila Cha de Ourique,Linha do Norte
Pereiras,BEJA,ODEMIRA,Santa Clara-a-Velha,Linha do Sul
Monte Novo-Palma,SETUBAL,ALCACER DO SAL,Santa Maria do Castelo e Santiago e Santa Susana,Linha do Sul
Aguda,PORTO,VILA NOVA DE GAIA,Arcozelo,Linha do Norte
Azinheira dos Barros – A,SETUBAL,GRANDOLA,Azinheira dos Barros e Sao Mamede do Sadao,Linha do Sul
Formoselha / Santo Varao,COIMBRA,MONTEMOR-O-VELHO,Santo Varao,Linha do Norte
Almancil,FARO,LOULE,Almancil,Linha do Algarve
Agolada,SANTAREM,CORUCHE,"Coruche, Fajarda e Erra",Linha de Vendas Novas
Fatela-Penamacor,CASTELO BRANCO,FUNDAO,Enxames,Linha da Beira Baixa
Alcains,CASTELO BRANCO,CASTELO BRANCO,Alcains,Linha da Beira Baixa
Silvalde,AVEIRO,ESPINHO,Silvalde,Linha do Norte
Salir do Porto,LEIRIA,CALDAS DA RAINHA,Tornada e Salir do Porto,Linha do Oeste
Parque das Cidades,FARO,LOULE,Almancil,Linha do Algarve
Pero Negro,LISBOA,SOBRAL DE MONTE AGRACO,Sapataria,Linha do Oeste
Castelejo,VISEU,SANTA COMBA DAO,Sao Joao de Areias,Linha da Beira Alta
Agueda,AVEIRO,AGUEDA,Agueda e Borralha,Linha do Vouga
Mortagua,VISEU,MORTAGUA,"Mortagua, Vale de Remigio, Cortegaca e Almaca",Linha da Beira Alta
Figueira da Foz,COIMBRA,FIGUEIRA DA FOZ,Buarcos e Sao Juliao,Linha do Oeste
Barcelos,BRAGA,BARCELOS,Arcozelo,Linha do Minho
Monte dos Lobos,VISEU,MORTAGUA,"Mortagua, Vale de Remigio, Cortegaca e Almaca",Linha da Beira Alta
Estombar-Lagoa,FARO,LAGOA,Estombar e Parchal,Linha do Algarve
Trofa,PORTO,TROFA,Bougado (Sao Martinho e Santiago),Linha do Minho
Desvio de Picotas,BEJA,CASTRO VERDE,Castro Verde e Casevel,Ramal Neves Corvo
Minas de Neves Corvo,BEJA,CASTRO VERDE,Santa Barbara de Padroes,Ramal Neves Corvo
Palmilheira,PORTO,MAIA,Aguas Santas,Linha do Minho
Cavaco,AVEIRO,SANTA MARIA DA FEIRA,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Linha do Vouga
Famalicao da Nazare,LEIRIA,NAZARE,Famalicao,Linha do Oeste
Aguieira,AVEIRO,AGUEDA,Valongo do Vouga,Linha do Vouga
Valongo,PORTO,VALONGO,Valongo,Linha do Douro
Carvalha,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,Campos e Vila Mea,Linha do Minho
Pego,AVEIRO,MEALHADA,Vacarica,Linha da Beira Alta
Praia do Ribatejo,SANTAREM,VILA NOVA DA BARQUINHA,Praia do Ribatejo,Linha da Beira Baixa
Marujal,COIMBRA,MONTEMOR-O-VELHO,"Abrunheira, Verride e Vila Nova da Barca",Ramal de Alfarelos
Entrecampos,LISBOA,LISBOA,Alvalade,Linha de Cintura
Viana,EVORA,VIANA DO ALENTEJO,Viana do Alentejo,Linha do Alentejo
Pegoes,SETUBAL,MONTIJO,Pegoes,Linha do Alentejo
Merces,LISBOA,SINTRA,Algueirao-Mem Martins,Linha de Sintra
Garvao,BEJA,OURIQUE,Garvao e Santa Luzia,Linha do Sul
Reboleira,LISBOA,AMADORA,Aguas Livres,Linha de Sintra
Marinhais,SANTAREM,SALVATERRA DE MAGOS,Marinhais,Linha de Vendas Novas
Muge,SANTAREM,SALVATERRA DE MAGOS,Muge,Linha de Vendas Novas
Canal-Caveira,SETUBAL,GRANDOLA,Grandola e Santa Margarida da Serra,Linha do Sul
Vendas Novas,EVORA,VENDAS NOVAS,Vendas Novas,Linha do Alentejo
Sao Pedro do Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Cascais,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Sao Joao do Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Paco de Arcos,LISBOA,OEIRAS,"Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias",Linha de Cascais
Caxias,LISBOA,OEIRAS,"Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias",Linha de Cascais
Crato,PORTALEGRE,CRATO,"Crato e Martires, Flor da Rosa e Vale do Peso",Linha do Leste
Fogueteiro,SETUBAL,SEIXAL,"Seixal, Arrentela e Aldeia de Paio Pires",Linha do Sul
Foros de Amora,SETUBAL,SEIXAL,Amora,Linha do Sul
Pragal,SETUBAL,ALMADA,"Almada, Cova da Piedade, Pragal e Cacilhas",Linha do Sul
Alvito-A,LISBOA,LISBOA,Alcantara,Linha do Sul
Fuseta-A,FARO,OLHAO,Moncarapacho e Fuseta,Linha do Algarve
Cacela,FARO,VILA REAL DE SANTO ANTONIO,Vila Nova de Cacela,Linha do Algarve
Durraes,BRAGA,BARCELOS,Durraes e Tregosa,Linha do Minho
Povoa,LISBOA,VILA FRANCA DE XIRA,Povoa de Santa Iria e Forte da Casa,Linha do Norte
Portimao,FARO,PORTIMAO,Portimao,Linha do Algarve
Caide,PORTO,LOUSADA,Caide de Rei,Linha do Douro
Albergaria dos Doze,LEIRIA,POMBAL,Santiago e S. Simao de Litem e Albergaria dos Doze,Linha do Norte
Vizela,BRAGA,VIZELA,Caldas de Vizela (Sao Miguel e Sao Joao),Linha de Guimaraes
Mexilhoeira Grande,FARO,PORTIMAO,Mexilhoeira Grande,Linha do Algarve
Messines-Alte,FARO,SILVES,Sao Bartolomeu de Messines,Linha do Sul
Sao Marcos,FARO,SILVES,Sao Marcos da Serra,Linha do Sul
Santa Clara-Saboia,BEJA,ODEMIRA,Santa Clara-a-Velha,Linha do Sul
Luzianes,BEJA,ODEMIRA,Luzianes-Gare,Linha do Sul
Lagos,FARO,LAGOS,Sao Goncalo de Lagos,Linha do Algarve
Castro Marim,FARO,CASTRO MARIM,Castro Marim,Linha do Algarve
Alvaraes,VIANA DO CASTELO,VIANA DO CASTELO,Alvaraes,Linha do Minho
Grandola Norte,SETUBAL,GRANDOLA,Grandola e Santa Margarida da Serra,Linha do Sul
Loule,FARO,LOULE,Loule (Sao Sebastiao),Linha do Algarve
Conceicao,FARO,TAVIRA,Conceicao e Cabanas de Tavira,Linha do Algarve
Moledo do Minho,VIANA DO CASTELO,CAMINHA,Moledo e Cristelo,Linha do Minho
Valega,AVEIRO,OVAR,Valega,Linha do Norte
Bifurcacao de Torre Va,BEJA,OURIQUE,Panoias e Conceicao,Linha do Sul
Alvalade,SETUBAL,SANTIAGO DO CACEM,Alvalade,Linha do Sul
Carregado,LISBOA,VILA FRANCA DE XIRA,Castanheira do Ribatejo e Cachoeiras,Linha do Norte
Figueiredo,AVEIRO,OLIVEIRA DE AZEMEIS,"Pinheiro da Bemposta, Travanca e Palmaz",Linha do Vouga
Vale de Guizo,SETUBAL,ALCACER DO SAL,Santa Maria do Castelo e Santiago e Santa Susana,Linha do Sul
Ovar,AVEIRO,OVAR,"Ovar, S. Joao, Arada e S. Vicente de Pereira Jusa",Linha do Norte
Miramar,PORTO,VILA NOVA DE GAIA,Arcozelo,Linha do Norte
Pinheiro,SETUBAL,ALCACER DO SAL,Santa Maria do Castelo e Santiago e Santa Susana,Linha do Sul
Monte Gordo,FARO,VILA REAL DE SANTO ANTONIO,Monte Gordo,Linha do Algarve
Soudos - Vila Nova,SANTAREM,TOMAR,Paialvo,Ramal de Tomar
Albufeira - Ferreiras,FARO,ALBUFEIRA,Ferreiras,Linha do Algarve
Vale da Rosa,SETUBAL,SETUBAL,Sado,Linha do Sul
Mourisca-Sado,SETUBAL,SETUBAL,Gambia-Pontes-Alto da Guerra,Linha do Sul
Eirol,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Cachofarra,SETUBAL,SETUBAL,Setubal (Sao Sebastiao),Linha do Sul
Praca do Quebedo,SETUBAL,SETUBAL,"S. Juliao, N. S. da Anunciada e S. Maria da Graca",Linha do Sul
Vila Real de Stº Antonio,FARO,VILA REAL DE SANTO ANTONIO,Vila Real de Santo Antonio,Linha do Algarve
Palmela - A,SETUBAL,PALMELA,Palmela,Linha do Sul
Palmela,SETUBAL,PALMELA,Palmela,Linha do Sul
Praias-Sado-A,SETUBAL,SETUBAL,Setubal (Sao Sebastiao),Linha do Sul
Porto Rei,VILA REAL,MESAO FRIO,Barqueiros,Linha do Douro
Venda do Alcaide,SETUBAL,PALMELA,Palmela,Linha do Sul
Braco de Prata,LISBOA,LISBOA,Marvila,Linha do Norte
Aguas de Moura,SETUBAL,SETUBAL,Gambia-Pontes-Alto da Guerra,Linha do Sul
Corroios,SETUBAL,SEIXAL,Corroios,Linha do Sul
Ancora Praia,VIANA DO CASTELO,CAMINHA,Vila Praia de Ancora,Linha do Minho
Santa Cruz/Damaia,LISBOA,AMADORA,Aguas Livres,Linha de Sintra
Lisboa Rossio,LISBOA,LISBOA,Santa Maria Maior,Linha de Sintra
Santa Cita,SANTAREM,TOMAR,Madalena e Beselga,Ramal de Tomar
Lourical,LEIRIA,POMBAL,Carrico,Linha do Oeste
Ameal-Sul,COIMBRA,MONTEMOR-O-VELHO,Pereira,Linha do Norte
Freineda,GUARDA,ALMEIDA,Freineda,Linha da Beira Alta
Baracal,GUARDA,CELORICO DA BEIRA,Baracal,Linha da Beira Alta
Celorico da Beira,GUARDA,CELORICO DA BEIRA,Forno Telheiro,Linha da Beira Alta
Papizios,VISEU,CARREGAL DO SAL,Carregal do Sal,Linha da Beira Alta
Mourisca do Vouga,AVEIRO,AGUEDA,"Trofa, Segadaes e Lamas do Vouga",Linha do Vouga
Cacia,AVEIRO,AVEIRO,Cacia,Linha do Norte
Sacavem,LISBOA,LOURES,Sacavem e Prior Velho,Linha do Norte
Reguengo - Vale da Pedra - Pontevel,SANTAREM,CARTAXO,Vale da Pedra,Linha do Norte
Esqueiro,VIANA DO CASTELO,CAMINHA,Lanhelas,Linha do Minho
Cabanoes,AVEIRO,AGUEDA,Travasso e Ois da Ribeira,Linha do Vouga
Azurva,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Leixoes,PORTO,MATOSINHOS,Matosinhos e Leca da Palmeira,Linha de Leixoes
Louro,BRAGA,VILA NOVA DE FAMALICAO,Louro,Linha do Minho
Eixo,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Bustelo,PORTO,PENAFIEL,Bustelo,Linha do Douro
Vale de Santarem,SANTAREM,SANTAREM,Vale de Santarem,Linha do Norte
Ermesinde - B,PORTO,VALONGO,Ermesinde,Concordancia Sao Gemil
Silvalde-Vouga,AVEIRO,ESPINHO,Silvalde,Linha do Vouga
Aregos,PORTO,BAIAO,Santa Cruz do Douro e Sao Tome de Covelas,Linha do Douro
Espadaneira,COIMBRA,COIMBRA,Sao Martinho do Bispo e Ribeira de Frades,Linha do Norte
Esgueira,AVEIRO,AVEIRO,Esgueira,Linha do Vouga
Travagem,PORTO,VALONGO,Ermesinde,Linha do Minho
Marinha Grande,LEIRIA,MARINHA GRANDE,Marinha Grande,Linha do Oeste
Canelas,AVEIRO,ESTARREJA,Canelas e Fermela,Linha do Norte
Caminha,VIANA DO CASTELO,CAMINHA,Caminha (Matriz) e Vilarelho,Linha do Minho
Litem,LEIRIA,POMBAL,Santiago e S. Simao de Litem e Albergaria dos Doze,Linha do Norte
Sampaio-Oleiros,AVEIRO,SANTA MARIA DA FEIRA,Sao Paio de Oleiros,Linha do Vouga
Sao Joao de Loure,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Carreira,BRAGA,BARCELOS,Carreira e Fonte Coberta,Linha do Minho
Santarem,SANTAREM,SANTAREM,Uniao das freguesias da cidade de Santarem,Linha do Norte
Fungalvaz,SANTAREM,TORRES NOVAS,Assentiz,Linha do Norte
Chao de Macas-Fatima,SANTAREM,TOMAR,Sabacheira,Linha do Norte
Mira Sintra - Melecas,LISBOA,SINTRA,Queluz e Belas,Linha do Oeste
Barca da Amieira -Envendos,SANTAREM,MACAO,Envendos,Linha da Beira Baixa
Runa,LISBOA,TORRES VEDRAS,Dois Portos e Runa,Linha do Oeste
Ferrao,VILA REAL,SABROSA,Covas do Douro,Linha do Douro
Vila Fernando,GUARDA,GUARDA,Vila Fernando,Linha da Beira Alta
Mafra,LISBOA,MAFRA,Igreja Nova e Cheleiros,Linha do Oeste
Castelo Mendo,GUARDA,ALMEIDA,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",Linha da Beira Alta
Macainhas,CASTELO BRANCO,BELMONTE,Macainhas,Linha da Beira Baixa
Malveira,LISBOA,MAFRA,Malveira e Sao Miguel de Alcainca,Linha do Oeste
Rochoso,GUARDA,GUARDA,Rochoso e Monte Margarida,Linha da Beira Alta
Sarnadas,CASTELO BRANCO,VILA VELHA DE RODAO,Sarnadas de Rodao,Linha da Beira Baixa
Covilha,CASTELO BRANCO,COVILHA,Covilha e Canhoso,Linha da Beira Baixa
Alegria,BRAGANCA,CARRAZEDA DE ANSIAES,Linhares,Linha do Douro
Livramento,FARO,TAVIRA,Luz de Tavira e Santo Estevao,Linha do Algarve
Porta Nova,FARO,TAVIRA,Tavira (Santa Maria e Santiago),Linha do Algarve
Casa Branca,EVORA,MONTEMOR-O-NOVO,Santiago do Escoural,Linha do Alentejo
Tancos,SANTAREM,VILA NOVA DA BARQUINHA,Praia do Ribatejo,Linha da Beira Baixa
Queluz-Belas,LISBOA,SINTRA,Queluz e Belas,Linha de Sintra
Reveles,COIMBRA,MONTEMOR-O-VELHO,"Abrunheira, Verride e Vila Nova da Barca",Ramal de Alfarelos
Vidigal,EVORA,VENDAS NOVAS,Vendas Novas,Linha de Vendas Novas
Canha,SETUBAL,MONTIJO,Canha,Linha de Vendas Novas
Amoreiras-Odemira,BEJA,ODEMIRA,Sao Martinho das Amoreiras,Linha do Sul
Azinheira dos Barros,SETUBAL,GRANDOLA,Azinheira dos Barros e Sao Mamede do Sadao,Linha do Sul
Petrogal - Asfaltos,SETUBAL,SINES,Sines,Ramal Petrogal - Asfaltos
Ribeira de Seica,COIMBRA,FIGUEIRA DA FOZ,Paiao,Linha do Oeste
Fornos de Algodres,GUARDA,FORNOS DE ALGODRES,Fornos de Algodres,Linha da Beira Alta
Barragem de Belver,SANTAREM,MACAO,Ortiga,Linha da Beira Baixa
Benespera,GUARDA,GUARDA,Benespera,Linha da Beira Baixa
Monte Real,LEIRIA,LEIRIA,Souto da Carpalhosa e Ortigosa,Linha do Oeste
Moimenta Alcafache,VISEU,MANGUALDE,Espinho,Linha da Beira Alta
Esmoriz,AVEIRO,OVAR,Esmoriz,Linha do Norte
Godim,VILA REAL,PESO DA REGUA,Peso da Regua e Godim,Linha do Douro
Miuzela,GUARDA,ALMEIDA,Miuzela e Porto de Ovelha,Linha da Beira Alta
Vale de Prazeres,CASTELO BRANCO,FUNDAO,Vale de Prazeres e Mata da Rainha,Linha da Beira Baixa
Obidos,LEIRIA,OBIDOS,"Santa Maria, Sao Pedro e Sobral da Lagoa",Linha do Oeste
Amieira,COIMBRA,SOURE,Samuel,Linha do Oeste
Vila Franca das Naves,GUARDA,TRANCOSO,Vila Franca das Naves e Feital,Linha da Beira Alta
Camarao,LEIRIA,BOMBARRAL,Bombarral e Vale Covo,Linha do Oeste
Raquete,SETUBAL,SINES,Sines,Linha de Sines
Tomar,SANTAREM,TOMAR,Sao Joao Baptista e Santa Maria dos Olivais,Ramal de Tomar
Desvio Km 19.5,SANTAREM,SALVATERRA DE MAGOS,Gloria do Ribatejo e Granho,Linha de Vendas Novas
Grandola,SETUBAL,GRANDOLA,Grandola e Santa Margarida da Serra,Linha do Sul
Alvega-Ortiga,SANTAREM,MACAO,Ortiga,Linha da Beira Baixa
Sapataria,LISBOA,SOBRAL DE MONTE AGRACO,Sapataria,Linha do Oeste
Leiria,LEIRIA,LEIRIA,Marrazes e Barosa,Linha do Oeste
Arronches,PORTALEGRE,ARRONCHES,Assuncao,Linha do Leste
Caria,CASTELO BRANCO,BELMONTE,Caria,Linha da Beira Baixa
Canas Felgueira,VISEU,NELAS,Canas de Senhorim,Linha da Beira Alta
Macinhata,AVEIRO,AGUEDA,Macinhata do Vouga,Linha do Vouga
Carvalheira - Maceda,AVEIRO,OVAR,Maceda,Linha do Norte
Francelos Sul,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Francelos Norte,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Fuentes de Onoro,,,,Rede Espanhola
Badajoz,,,,Rede Espanhola
